d2_move_id,source,destination,entry_kind,classification,license_status,exclusion_required,source_file_count,source_total_bytes,current_runtime_refs,current_test_refs,current_doc_refs,registry_refs,prior_ledger_members,successor_chain_required,destination_policy_root,transaction_group,plan_origin,rollback_source,rollback_destination
D2-011,data/pallet/_make_split_zips.log,data/pallet/archive/superseded_runs/_make_split_zips.log,file,SUPERSEDED_RUN,LOW,false,1,2580,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_make_split_zips.log,data/pallet/_make_split_zips.log
D2-012,data/pallet/_make_split_zips.py,data/pallet/archive/superseded_runs/_make_split_zips.py,file,SUPERSEDED_RUN,LOW,false,1,3319,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_make_split_zips.py,data/pallet/_make_split_zips.py
D2-013,data/pallet/_make_zip_lowmem.log,data/pallet/archive/superseded_runs/_make_zip_lowmem.log,file,SUPERSEDED_RUN,LOW,false,1,2700,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_make_zip_lowmem.log,data/pallet/_make_zip_lowmem.log
D2-014,data/pallet/_make_zip_lowmem.py,data/pallet/archive/superseded_runs/_make_zip_lowmem.py,file,SUPERSEDED_RUN,LOW,false,1,5575,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_make_zip_lowmem.py,data/pallet/_make_zip_lowmem.py
D2-015,data/pallet/_mask_test10_gen.log,data/pallet/archive/superseded_runs/_mask_test10_gen.log,file,SUPERSEDED_RUN,LOW,false,1,4372,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mask_test10_gen.log,data/pallet/_mask_test10_gen.log
D2-016,data/pallet/_mask_test60_gen.log,data/pallet/archive/superseded_runs/_mask_test60_gen.log,file,SUPERSEDED_RUN,LOW,false,1,14822,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mask_test60_gen.log,data/pallet/_mask_test60_gen.log
D2-017,data/pallet/_mat_test10_gen.log,data/pallet/archive/superseded_runs/_mat_test10_gen.log,file,SUPERSEDED_RUN,LOW,false,1,4245,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10_gen.log,data/pallet/_mat_test10_gen.log
D2-018,data/pallet/_mat_test10b_gen.log,data/pallet/archive/superseded_runs/_mat_test10b_gen.log,file,SUPERSEDED_RUN,LOW,false,1,4139,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10b_gen.log,data/pallet/_mat_test10b_gen.log
D2-019,data/pallet/_mat_test10e_closeup.log,data/pallet/archive/superseded_runs/_mat_test10e_closeup.log,file,SUPERSEDED_RUN,LOW,false,1,1387,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10e_closeup.log,data/pallet/_mat_test10e_closeup.log
D2-020,data/pallet/_mat_test10e_gen.log,data/pallet/archive/superseded_runs/_mat_test10e_gen.log,file,SUPERSEDED_RUN,LOW,false,1,3760,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10e_gen.log,data/pallet/_mat_test10e_gen.log
D2-021,data/pallet/_material_compare_run.log,data/pallet/archive/superseded_runs/_material_compare_run.log,file,SUPERSEDED_RUN,LOW,false,1,6918,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_material_compare_run.log,data/pallet/_material_compare_run.log
D2-022,data/pallet/_ram_test.log,data/pallet/archive/superseded_runs/_ram_test.log,file,SUPERSEDED_RUN,LOW,false,1,1337,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_ram_test.log,data/pallet/_ram_test.log
D2-023,data/pallet/_ram_test.py,data/pallet/archive/superseded_runs/_ram_test.py,file,SUPERSEDED_RUN,LOW,false,1,3405,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_ram_test.py,data/pallet/_ram_test.py
D2-024,data/pallet/_read_stability_test.py,data/pallet/archive/superseded_runs/_read_stability_test.py,file,SUPERSEDED_RUN,LOW,false,1,763,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_read_stability_test.py,data/pallet/_read_stability_test.py
D2-025,data/pallet/_rebuild_part7.log,data/pallet/archive/superseded_runs/_rebuild_part7.log,file,SUPERSEDED_RUN,LOW,false,1,278,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_rebuild_part7.log,data/pallet/_rebuild_part7.log
D2-026,data/pallet/_rebuild_part7_nocache.py,data/pallet/archive/superseded_runs/_rebuild_part7_nocache.py,file,SUPERSEDED_RUN,LOW,false,1,5136,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_rebuild_part7_nocache.py,data/pallet/_rebuild_part7_nocache.py
D2-027,data/pallet/_rebuild_parts.log,data/pallet/archive/superseded_runs/_rebuild_parts.log,file,SUPERSEDED_RUN,LOW,false,1,303,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_rebuild_parts.log,data/pallet/_rebuild_parts.log
D2-028,data/pallet/_rebuild_parts.py,data/pallet/archive/superseded_runs/_rebuild_parts.py,file,SUPERSEDED_RUN,LOW,false,1,2459,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_rebuild_parts.py,data/pallet/_rebuild_parts.py
D2-029,data/pallet/_repack.log,data/pallet/archive/superseded_runs/_repack.log,file,SUPERSEDED_RUN,LOW,false,1,3468,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_repack.log,data/pallet/_repack.log
D2-030,data/pallet/_repack.py,data/pallet/archive/superseded_runs/_repack.py,file,SUPERSEDED_RUN,LOW,false,1,1231,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_repack.py,data/pallet/_repack.py
D2-031,data/pallet/_repack_retry.log,data/pallet/archive/superseded_runs/_repack_retry.log,file,SUPERSEDED_RUN,LOW,false,1,921,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_repack_retry.log,data/pallet/_repack_retry.log
D2-032,data/pallet/_repack_retry.py,data/pallet/archive/superseded_runs/_repack_retry.py,file,SUPERSEDED_RUN,LOW,false,1,5211,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_repack_retry.py,data/pallet/_repack_retry.py
D2-033,data/pallet/_stress_read.log,data/pallet/archive/superseded_runs/_stress_read.log,file,SUPERSEDED_RUN,LOW,false,1,763,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_stress_read.log,data/pallet/_stress_read.log
D2-034,data/pallet/_stress_read.py,data/pallet/archive/superseded_runs/_stress_read.py,file,SUPERSEDED_RUN,LOW,false,1,1447,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_stress_read.py,data/pallet/_stress_read.py
D2-035,data/pallet/_tmp_ph,data/pallet/archive/superseded_runs/_tmp_ph,dir,SUPERSEDED_RUN,LOW,false,6,172936,0,0,1,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_tmp_ph,data/pallet/_tmp_ph
D2-036,data/pallet/_trunc_addon_v1_10m_example,data/pallet/archive/superseded_runs/_trunc_addon_v1_10m_example,dir,SUPERSEDED_RUN,LOW,false,3,474429,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_trunc_addon_v1_10m_example,data/pallet/_trunc_addon_v1_10m_example
D2-037,data/pallet/_trunc_addon_v1_far_example,data/pallet/archive/superseded_runs/_trunc_addon_v1_far_example,dir,SUPERSEDED_RUN,LOW,false,4,1382207,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_trunc_addon_v1_far_example,data/pallet/_trunc_addon_v1_far_example
D2-038,data/pallet/_v2_b3_check,data/pallet/archive/superseded_runs/_v2_b3_check,dir,SUPERSEDED_RUN,LOW,false,36,8145589,0,0,2,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_b3_check,data/pallet/_v2_b3_check
D2-039,data/pallet/_v2_calib_200,data/pallet/archive/superseded_runs/_v2_calib_200,dir,SUPERSEDED_RUN,LOW,false,1011,140986989,0,0,2,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_calib_200,data/pallet/_v2_calib_200
D2-040,data/pallet/_v2_g5_reverify,data/pallet/archive/superseded_runs/_v2_g5_reverify,dir,SUPERSEDED_RUN,LOW,false,66,13346911,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_g5_reverify,data/pallet/_v2_g5_reverify
D2-041,data/pallet/_v2_pilot_2k,data/pallet/archive/superseded_runs/_v2_pilot_2k,dir,SUPERSEDED_RUN,LOW,false,12147,2495296046,0,0,9,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_pilot_2k,data/pallet/_v2_pilot_2k
D2-042,data/pallet/_v2_publicmask_overlay_smoke8,data/pallet/archive/superseded_runs/_v2_publicmask_overlay_smoke8,dir,SUPERSEDED_RUN,LOW,false,96,19802025,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_publicmask_overlay_smoke8,data/pallet/_v2_publicmask_overlay_smoke8
D2-043,data/pallet/_v2_scene_logic_500_seed7500,data/pallet/archive/superseded_runs/_v2_scene_logic_500_seed7500,dir,SUPERSEDED_RUN,LOW,false,4995,1698833273,0,0,48,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_scene_logic_500_seed7500,data/pallet/_v2_scene_logic_500_seed7500
D2-044,data/pallet/_v2_scene_logic_probe_seed7500_f18_r19_log.console.txt,data/pallet/archive/superseded_runs/_v2_scene_logic_probe_seed7500_f18_r19_log.console.txt,file,SUPERSEDED_RUN,LOW,false,1,61048,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_scene_logic_probe_seed7500_f18_r19_log.console.txt,data/pallet/_v2_scene_logic_probe_seed7500_f18_r19_log.console.txt
D2-045,data/pallet/_v2_scene_logic_probe_seed7500_idx02_prealign_r01.log,data/pallet/archive/superseded_runs/_v2_scene_logic_probe_seed7500_idx02_prealign_r01.log,file,SUPERSEDED_RUN,LOW,false,1,43564,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_scene_logic_probe_seed7500_idx02_prealign_r01.log,data/pallet/_v2_scene_logic_probe_seed7500_idx02_prealign_r01.log
D2-046,data/pallet/_v2_scene_logic_smoke20_seed7500_r40.log,data/pallet/archive/superseded_runs/_v2_scene_logic_smoke20_seed7500_r40.log,file,SUPERSEDED_RUN,LOW,false,1,70874,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_scene_logic_smoke20_seed7500_r40.log,data/pallet/_v2_scene_logic_smoke20_seed7500_r40.log
D2-047,data/pallet/_v2_scene_logic_smoke20_seed7500_r7_blender.log,data/pallet/archive/superseded_runs/_v2_scene_logic_smoke20_seed7500_r7_blender.log,file,SUPERSEDED_RUN,LOW,false,1,206202,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_scene_logic_smoke20_seed7500_r7_blender.log,data/pallet/_v2_scene_logic_smoke20_seed7500_r7_blender.log
D2-048,data/pallet/_v2_smoke50_9d,data/pallet/archive/superseded_runs/_v2_smoke50_9d,dir,SUPERSEDED_RUN,LOW,false,616,182120280,0,0,31,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_v2_smoke50_9d,data/pallet/_v2_smoke50_9d
D2-049,data/pallet/_wood_closeup.log,data/pallet/archive/superseded_runs/_wood_closeup.log,file,SUPERSEDED_RUN,LOW,false,1,2387,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_wood_closeup.log,data/pallet/_wood_closeup.log
D2-050,data/pallet/archive/_addon_pilot,data/pallet/archive/superseded_runs/_addon_pilot,dir,SUPERSEDED_RUN,LOW,false,81,20886859,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot,data/pallet/archive/_addon_pilot
D2-051,data/pallet/archive/_addon_pilot2,data/pallet/archive/superseded_runs/_addon_pilot2,dir,SUPERSEDED_RUN,LOW,false,33,8488781,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot2,data/pallet/archive/_addon_pilot2
D2-052,data/pallet/archive/_addon_pilot3,data/pallet/archive/superseded_runs/_addon_pilot3,dir,SUPERSEDED_RUN,LOW,false,17,4033900,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot3,data/pallet/archive/_addon_pilot3
D2-053,data/pallet/archive/_addon_pilot4,data/pallet/archive/superseded_runs/_addon_pilot4,dir,SUPERSEDED_RUN,LOW,false,50,13366774,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot4,data/pallet/archive/_addon_pilot4
D2-054,data/pallet/archive/_cam_test10,data/pallet/archive/superseded_runs/_cam_test10,dir,SUPERSEDED_RUN,LOW,false,42,17418114,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_cam_test10,data/pallet/archive/_cam_test10
D2-055,data/pallet/archive/_cam_test10b,data/pallet/archive/superseded_runs/_cam_test10b,dir,SUPERSEDED_RUN,LOW,false,41,15745613,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_cam_test10b,data/pallet/archive/_cam_test10b
D2-056,data/pallet/archive/_diag_pallet3,data/pallet/archive/superseded_runs/_diag_pallet3,dir,SUPERSEDED_RUN,LOW,false,26,5862609,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_diag_pallet3,data/pallet/archive/_diag_pallet3
D2-057,data/pallet/archive/_efront_12kp_check,data/pallet/archive/superseded_runs/_efront_12kp_check,dir,SUPERSEDED_RUN,LOW,false,107,44909247,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_efront_12kp_check,data/pallet/archive/_efront_12kp_check
D2-058,data/pallet/archive/_emptywood_test,data/pallet/archive/superseded_runs/_emptywood_test,dir,SUPERSEDED_RUN,LOW,false,48,14951374,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_emptywood_test,data/pallet/archive/_emptywood_test
D2-059,data/pallet/archive/_floor_applied14,data/pallet/archive/superseded_runs/_floor_applied14,dir,SUPERSEDED_RUN,LOW,false,16,8575358,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_applied14,data/pallet/archive/_floor_applied14
D2-060,data/pallet/archive/_floor_compare,data/pallet/archive/superseded_runs/_floor_compare,dir,SUPERSEDED_RUN,LOW,false,20,10247704,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_compare,data/pallet/archive/_floor_compare
D2-061,data/pallet/archive/_floor_emit,data/pallet/archive/superseded_runs/_floor_emit,dir,SUPERSEDED_RUN,LOW,false,6,1539034,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_emit,data/pallet/archive/_floor_emit
D2-062,data/pallet/archive/_floor_fix_test,data/pallet/archive/superseded_runs/_floor_fix_test,dir,SUPERSEDED_RUN,LOW,false,7,6180215,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_fix_test,data/pallet/archive/_floor_fix_test
D2-063,data/pallet/archive/_floor_smoke10,data/pallet/archive/superseded_runs/_floor_smoke10,dir,SUPERSEDED_RUN,LOW,false,33,9620190,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_smoke10,data/pallet/archive/_floor_smoke10
D2-064,data/pallet/archive/_floor_test10,data/pallet/archive/superseded_runs/_floor_test10,dir,SUPERSEDED_RUN,LOW,false,31,11968317,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_test10,data/pallet/archive/_floor_test10
D2-065,data/pallet/archive/_floor_test10b,data/pallet/archive/superseded_runs/_floor_test10b,dir,SUPERSEDED_RUN,LOW,false,33,16487621,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_test10b,data/pallet/archive/_floor_test10b
D2-066,data/pallet/archive/_floor_test10b_std,data/pallet/archive/superseded_runs/_floor_test10b_std,dir,SUPERSEDED_RUN,LOW,false,32,13123779,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_test10b_std,data/pallet/archive/_floor_test10b_std
D2-067,data/pallet/archive/_floor_uv_test,data/pallet/archive/superseded_runs/_floor_uv_test,dir,SUPERSEDED_RUN,LOW,false,17,16625340,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_uv_test,data/pallet/archive/_floor_uv_test
D2-068,data/pallet/archive/_mask_poc,data/pallet/archive/superseded_runs/_mask_poc,dir,SUPERSEDED_RUN,LOW,false,1,66471,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mask_poc,data/pallet/archive/_mask_poc
D2-069,data/pallet/archive/_mask_test10,data/pallet/archive/superseded_runs/_mask_test10,dir,SUPERSEDED_RUN,LOW,false,43,12354122,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mask_test10,data/pallet/archive/_mask_test10
D2-070,data/pallet/archive/_mat_test10,data/pallet/archive/superseded_runs/_mat_test10,dir,SUPERSEDED_RUN,LOW,false,41,15915563,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10,data/pallet/archive/_mat_test10
D2-071,data/pallet/archive/_mat_test10b,data/pallet/archive/superseded_runs/_mat_test10b,dir,SUPERSEDED_RUN,LOW,false,51,22847925,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10b,data/pallet/archive/_mat_test10b
D2-072,data/pallet/archive/_mat_test10c,data/pallet/archive/superseded_runs/_mat_test10c,dir,SUPERSEDED_RUN,LOW,false,44,19425013,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10c,data/pallet/archive/_mat_test10c
D2-073,data/pallet/archive/_mat_test10d,data/pallet/archive/superseded_runs/_mat_test10d,dir,SUPERSEDED_RUN,LOW,false,41,17311918,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10d,data/pallet/archive/_mat_test10d
D2-074,data/pallet/archive/_mat_test10d_scene3,data/pallet/archive/superseded_runs/_mat_test10d_scene3,dir,SUPERSEDED_RUN,LOW,false,25,9942873,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10d_scene3,data/pallet/archive/_mat_test10d_scene3
D2-075,data/pallet/archive/_mat_test10e,data/pallet/archive/superseded_runs/_mat_test10e,dir,SUPERSEDED_RUN,LOW,false,45,19972697,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_mat_test10e,data/pallet/archive/_mat_test10e
D2-076,data/pallet/archive/_material_compare,data/pallet/archive/superseded_runs/_material_compare,dir,SUPERSEDED_RUN,LOW,false,44,20303689,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_material_compare,data/pallet/archive/_material_compare
