path,depth,type,files,bytes,classification,why_retained,associated_plan_row,plan_status,registry_keys,current_runtime_test_refs,prior_ledger,d12_cohort,d12_registry_key,license_status,exclusion_status,is_empty,in_stage2a_archive_plan,proposed_action
data/pallet/archive/_noai_quarantine_usd,2,dir,3,738082,PLAN_ROW_KEEP_QUARANTINE,NoAI (ledger B1) — D1 이동 대상 제외. 이동 시 exclusion 경로 동시 갱신 필요,D1-060,KEEP_QUARANTINE,,0,,,,재배포 불가,EXCLUDED (archive/_noai_quarantine_usd),False,yes,다음 단계 후보 (이번 범위 아님)
data/pallet/archive/corrupt,2,dir,0,0,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,True,no,유지
data/pallet/archive/legacy_assets,2,dir,0,0,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,True,no,유지
data/pallet/archive/legacy_datasets,2,dir,325514,87835187620,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/noai_baked,3,dir,129746,40324862730,SEMANTIC_CONTAINER,semantic 하위 container (최종 구조),,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/train_4pallet_mask_v1,4,dir,40040,9845542580,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,EXCLUDED (archive/legacy_datasets/noai_baked/train_4pallet_mask_v1),False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/training_data,4,dir,34704,6435540124,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,legacy_training_data_root,0,,D12B_REFERENCE_MOVE,legacy_training_data_root,,EXCLUDED (archive/legacy_datasets/noai_baked/training_data),False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/training_data_v4,4,dir,329,133302744,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,EXCLUDED (archive/legacy_datasets/noai_baked/training_data_v4),False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/training_data_v4_emptywood,4,dir,9031,4820265222,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D12C_PROVEN_NOAI_MOVE,,,EXCLUDED (archive/legacy_datasets/noai_baked/training_data_v4_emptywood),False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/training_data_v4_pilotA,4,dir,482,188826895,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D12C_PROVEN_NOAI_MOVE,,,EXCLUDED (archive/legacy_datasets/noai_baked/training_data_v4_pilotA),False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/training_data_v4_split,4,dir,15053,8321688089,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,EXCLUDED (archive/legacy_datasets/noai_baked/training_data_v4_split),False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/training_data_v4_split_GREYBUG,4,dir,15051,5291018327,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D12C_PROVEN_NOAI_MOVE,,,EXCLUDED (archive/legacy_datasets/noai_baked/training_data_v4_split_GREYBUG),False,no,유지
data/pallet/archive/legacy_datasets/noai_baked/training_data_v4_split_bg1bak,4,dir,15056,5288678749,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D12C_PROVEN_NOAI_MOVE,,,EXCLUDED (archive/legacy_datasets/noai_baked/training_data_v4_split_bg1bak),False,no,유지
data/pallet/archive/legacy_datasets/partial,3,dir,241,65085895,SEMANTIC_CONTAINER,semantic 하위 container (최종 구조),,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/partial/_mask_test60,4,dir,241,65085895,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable,3,dir,193564,46837828689,SEMANTIC_CONTAINER,semantic 하위 container (최종 구조),,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/test_blender_v64,4,dir,6000,1786012650,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/test_blender_v65,4,dir,300,86945235,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/test_blender_v67,4,dir,501,150369725,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/test_blender_v68,4,dir,3000,909147448,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/test_blender_v69,4,dir,12000,3662471008,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/test_blender_v70,4,dir,3000,915545347,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/test_indoor_v1,4,dir,3000,588469993,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/train_palletobj_addon_v1,4,dir,24002,5752182582,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/train_palletobj_v1,4,dir,30012,8337383185,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/train_palletobj_v2,4,dir,30010,8341960347,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/train_palletobj_v3,4,dir,40002,10682796255,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,legacy_train_palletobj_v3_root,0,,D12B_REFERENCE_MOVE,legacy_train_palletobj_v3_root,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/train_palletobj_v3_post_v1,4,dir,17722,77884636,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,legacy_train_palletobj_v3_post_v1_root,0,,D12B_REFERENCE_MOVE,legacy_train_palletobj_v3_post_v1_root,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/redistributable/trunc_addon_v1,4,dir,24015,5546660278,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v1,3,dir,63,14124145,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v10,3,dir,30,9258721,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v11,3,dir,30,9646016,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v12,3,dir,30,9680287,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v13,3,dir,30,9562151,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v14,3,dir,30,9655600,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v15,3,dir,30,9567223,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v16,3,dir,30,9376375,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v17,3,dir,30,9581741,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v18,3,dir,30,9416465,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v19,3,dir,30,9775801,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v2,3,dir,20,4526604,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v20,3,dir,30,9449852,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v21,3,dir,30,9708826,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v22,3,dir,30,9501126,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v23,3,dir,30,9559885,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v24,3,dir,30,9340760,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v25,3,dir,30,9484742,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v26,3,dir,30,9421985,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v27,3,dir,30,9357288,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v28,3,dir,30,9383844,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v29,3,dir,30,9553232,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v3,3,dir,20,4546354,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v30,3,dir,30,9682929,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v31,3,dir,30,9592334,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v32,3,dir,57,23413074,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v33,3,dir,57,23012511,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v34,3,dir,12,3904075,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v35,3,dir,0,0,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,True,no,유지
data/pallet/archive/legacy_datasets/test_blender_v36,3,dir,30,9466013,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v37,3,dir,12,3739542,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v38,3,dir,30,9410447,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v39,3,dir,30,9424508,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v4,3,dir,30,9496976,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v40,3,dir,30,9450482,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v41,3,dir,30,9505780,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v42,3,dir,30,9134188,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v43,3,dir,30,8192271,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v44,3,dir,30,8264108,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v45,3,dir,30,8837235,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v46,3,dir,30,8183335,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v47,3,dir,12,3422037,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v48,3,dir,30,8494172,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v49,3,dir,0,0,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,True,no,유지
data/pallet/archive/legacy_datasets/test_blender_v5,3,dir,30,9508128,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v50,3,dir,3,914907,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v51,3,dir,27,7997566,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v52,3,dir,18,5538912,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v53,3,dir,27,7568421,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v54,3,dir,21,6245323,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v55,3,dir,12,3622759,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v56,3,dir,15,4389603,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v57,3,dir,18,4925900,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v58,3,dir,30,8661654,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v59,3,dir,30,8871584,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v6,3,dir,90,28174468,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v60,3,dir,30,9258927,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v61,3,dir,30,9283276,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v62,3,dir,30,9144406,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v63,3,dir,30,8576032,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v66,3,dir,99,30126560,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v7,3,dir,90,28078134,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v8,3,dir,30,9494168,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_datasets/test_blender_v9,3,dir,30,8924538,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_LEGACY_DATASETS,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes,2,dir,11,2538773468,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/blender_backups,3,dir,4,895335741,SEMANTIC_CONTAINER,semantic 하위 container (최종 구조),,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/blender_backups/_sandbox_parking_lot_check.blend1,4,file,1,137789046,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/blender_backups/synth_data_scene.REBAKE_WIP.blend1,4,file,1,246594559,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/blender_backups/synth_data_scene.blend1,4,file,1,245862236,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/blender_backups/synth_data_scene12.blend1,4,file,1,265089900,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots,3,dir,7,1643437727,SEMANTIC_CONTAINER,semantic 하위 container (최종 구조),,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots/_sandbox_parking_lot_check.blend,4,file,1,137789005,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,legacy_sandbox_parking_lot_scene,0,,D12B_REFERENCE_MOVE,legacy_sandbox_parking_lot_scene,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots/synth_data_scene.POSTBAKE_CLEAN_20260724_191902.blend,4,file,1,245967843,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots/synth_data_scene.PREBAKE_BACKUP_20260724_181050.blend,4,file,1,245475973,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots/synth_data_scene.REBAKE_WIP.blend,4,file,1,245967843,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots/synth_data_scene12.blend,4,file,1,257666344,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots/synth_data_scene121.blend,4,file,1,265089901,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/legacy_scenes/snapshots/synth_data_scene_indoor.blend,4,file,1,245480818,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/nonredistributable,2,dir,0,0,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,True,no,유지
data/pallet/archive/packages,2,dir,18,85448319668,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/background_sources,3,dir,3,157408367,SEMANTIC_CONTAINER,semantic 하위 container (최종 구조),,,background_package_archive,0,,,,,EXCLUDED (archive/packages/background_sources),False,no,유지
data/pallet/archive/packages/background_sources/modular_buildings_industrial_area..zip,4,file,1,28110712,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,reports/data_pallet_cleanup/stage2c2/transactions/c2a_background_packages.jsonl,,,,EXCLUDED (archive/packages/background_sources),False,no,유지
data/pallet/archive/packages/background_sources/modular_buildings_industrial_area.zip,4,file,1,28110712,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,reports/data_pallet_cleanup/stage2c2/transactions/c2a_background_packages.jsonl,,,,EXCLUDED (archive/packages/background_sources),False,no,유지
