source,case_id,case_outcome,old_outcome,target_seed_candidate_count,target_seed_unique_candidate_count,target_seed_duplicate_count,budgeted_evals_excluding_target_seed,candidate_budget_exhausted,winning_stage
locked_replay,locked_replay:113,accepted,accepted,8,8,0,24,3,gate-overlap-refine
locked_replay,locked_replay:118,rejected,expensive_reject,16,16,0,36,9,
locked_replay,locked_replay:120,rejected,expensive_reject,16,16,0,36,6,
locked_replay,locked_replay:121,accepted,accepted,16,16,0,24,3,gate-overlap-refine
locked_replay,locked_replay:128,rejected,expensive_reject,16,16,0,36,9,
locked_replay,locked_replay:132,accepted,accepted,16,16,0,13,3,target-seed
locked_replay,locked_replay:136,rejected,expensive_reject,0,0,0,36,9,
locked_replay,locked_replay:137,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:142,rejected,expensive_reject,8,8,0,36,10,
locked_replay,locked_replay:143,rejected,expensive_reject,16,16,0,36,9,
locked_replay,locked_replay:146,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:147,accepted,accepted,16,16,0,13,3,target-seed
locked_replay,locked_replay:154,rejected,expensive_reject,24,24,0,36,12,
locked_replay,locked_replay:155,accepted,accepted,16,16,0,2,0,target-seed
locked_replay,locked_replay:158,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:159,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:163,rejected,expensive_reject,16,16,0,36,8,
locked_replay,locked_replay:166,accepted,accepted,8,8,0,23,1,corner-contact-refine
locked_replay,locked_replay:173,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:174,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:176,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:180,rejected,expensive_reject,0,0,0,36,7,
locked_replay,locked_replay:183,accepted,expensive_reject,24,24,0,36,7,primary
locked_replay,locked_replay:184,rejected,expensive_reject,24,24,0,36,11,
locked_replay,locked_replay:187,accepted,accepted,0,0,0,1,0,preprobe
locked_replay,locked_replay:192,rejected,expensive_reject,24,24,0,36,12,
locked_replay,locked_replay:195,accepted,accepted,8,8,0,24,3,gate-overlap-refine
locked_replay,locked_replay:199,rejected,expensive_reject,24,24,0,36,10,
locked_replay,locked_replay:201,rejected,expensive_reject,16,16,0,13,4,target-seed
locked_replay,locked_replay:202,accepted,accepted,8,8,0,2,0,preprobe
locked_replay,locked_replay:209,rejected,expensive_reject,24,24,0,36,10,
locked_replay,locked_replay:211,accepted,accepted,8,8,0,2,0,target-seed
locked_replay,locked_replay:216,rejected,expensive_reject,0,0,0,12,3,
locked_replay,locked_replay:217,rejected,expensive_reject,8,8,0,36,7,
locked_replay,locked_replay:219,accepted,accepted,16,16,0,13,5,target-seed
locked_replay,locked_replay:222,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:225,rejected,expensive_reject,8,8,0,36,10,
locked_replay,locked_replay:226,rejected,expensive_reject,0,0,0,36,5,
locked_replay,locked_replay:229,rejected,expensive_reject,16,16,0,13,3,target-seed
locked_replay,locked_replay:231,accepted,accepted,4,4,0,11,0,corner-contact-refine
locked_replay,locked_replay:237,rejected,expensive_reject,24,24,0,36,10,
locked_replay,locked_replay:238,rejected,expensive_reject,8,8,0,36,9,
locked_replay,locked_replay:242,rejected,expensive_reject,23,23,0,36,11,
locked_replay,locked_replay:244,accepted,accepted,8,8,0,1,0,target-seed
smoke100b,smoke100b:8,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:11,accepted,,16,16,0,2,0,target-seed
smoke100b,smoke100b:18,accepted,,8,8,0,13,4,preprobe
smoke100b,smoke100b:26,accepted,,16,16,0,2,0,target-seed
smoke100b,smoke100b:38,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:46,accepted,,16,16,0,13,3,target-seed
smoke100b,smoke100b:59,accepted,,8,8,0,13,3,target-seed
smoke100b,smoke100b:65,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:70,accepted,,8,8,0,13,3,target-seed
smoke100b,smoke100b:76,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:82,accepted,,16,16,0,2,0,target-seed
smoke100b,smoke100b:93,accepted,,8,8,0,24,3,primary
smoke100b,smoke100b:104,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:113,accepted,,8,8,0,24,3,gate-overlap-refine
smoke100b,smoke100b:121,accepted,,16,16,0,24,3,gate-overlap-refine
smoke100b,smoke100b:132,accepted,,16,16,0,13,3,target-seed
smoke100b,smoke100b:137,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:147,accepted,,16,16,0,13,3,target-seed
smoke100b,smoke100b:155,accepted,,16,16,0,2,0,target-seed
smoke100b,smoke100b:159,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:166,accepted,,8,8,0,23,1,corner-contact-refine
smoke100b,smoke100b:174,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:176,accepted,,8,8,0,1,0,target-seed
smoke100b,smoke100b:183,accepted,,24,24,0,36,7,primary
smoke100b,smoke100b:187,accepted,,0,0,0,1,0,preprobe
smoke100b,smoke100b:189,accepted,,0,0,0,1,0,preprobe
smoke100b,smoke100b:195,accepted,,8,8,0,24,3,gate-overlap-refine
smoke100b,smoke100b:202,accepted,,8,8,0,2,0,preprobe
smoke100b,smoke100b:211,accepted,,8,8,0,2,0,target-seed
smoke100b,smoke100b:219,accepted,,16,16,0,13,5,target-seed
smoke100b,smoke100b:3,rejected,,8,8,0,36,9,
smoke100b,smoke100b:4,rejected,,24,24,0,36,9,
smoke100b,smoke100b:7,rejected,,0,0,0,12,2,
smoke100b,smoke100b:29,rejected,,8,8,0,36,9,
smoke100b,smoke100b:30,rejected,,16,16,0,36,6,
smoke100b,smoke100b:32,rejected,,24,24,0,36,9,
smoke100b,smoke100b:34,rejected,,16,16,0,36,9,
smoke100b,smoke100b:54,rejected,,0,0,0,36,6,
smoke100b,smoke100b:55,rejected,,8,8,0,36,10,
smoke100b,smoke100b:58,rejected,,24,24,0,36,9,
smoke100b,smoke100b:62,rejected,,24,24,0,36,10,
smoke100b,smoke100b:69,rejected,,24,24,0,36,11,
smoke100b,smoke100b:79,rejected,,0,0,0,36,7,
smoke100b,smoke100b:80,rejected,,24,24,0,36,9,
smoke100b,smoke100b:91,rejected,,24,24,0,36,9,
smoke100b,smoke100b:98,rejected,,24,24,0,36,9,
smoke100b,smoke100b:100,rejected,,23,23,0,36,10,
smoke100b,smoke100b:102,rejected,,16,16,0,36,9,
smoke100b,smoke100b:109,rejected,,16,16,0,36,9,
smoke100b,smoke100b:112,rejected,,16,16,0,36,9,
smoke100b,smoke100b:118,rejected,,16,16,0,36,9,
smoke100b,smoke100b:120,rejected,,16,16,0,36,6,
smoke100b,smoke100b:128,rejected,,16,16,0,36,9,
smoke100b,smoke100b:136,rejected,,0,0,0,36,9,
smoke100b,smoke100b:142,rejected,,8,8,0,36,10,
smoke100b,smoke100b:143,rejected,,16,16,0,36,9,
smoke100b,smoke100b:146,rejected,,24,24,0,36,9,
smoke100b,smoke100b:154,rejected,,24,24,0,36,12,
smoke100b,smoke100b:158,rejected,,24,24,0,36,9,
smoke100b,smoke100b:163,rejected,,16,16,0,36,8,
smoke100b,smoke100b:173,rejected,,24,24,0,36,9,
smoke100b,smoke100b:180,rejected,,0,0,0,36,7,
smoke100b,smoke100b:199,rejected,,24,24,0,36,10,
smoke100b,smoke100b:201,rejected,,16,16,0,13,4,target-seed
smoke100b,smoke100b:205,rejected,,24,24,0,35,6,corner-contact-refine
smoke100b,smoke100b:209,rejected,,24,24,0,36,10,
smoke100b,smoke100b:216,rejected,,0,0,0,12,3,
smoke100b,smoke100b:217,rejected,,8,8,0,36,7,
