proposal_index,accepted,reject_reason,pallet_type,scene_preset,exposure_ev,elev_bin,elevation_deg,azimuth_bin,azimuth_deg,v_target,proj_size_bin,proj_size_ratio,proj_size_feasible_lower,proj_size_bin_lo,proj_size_bin_hi,n_feasible_bins,bin_feasible,aspect,image_width,image_height,fx_mode,fx,f_target_bin,f_target,position_mode,cargo_on,camera_distance_spec_m,camera_distance_target_m,v_probe,trunc_mode,occluder
10,1,,Pallet_2,outdoor-day,-2.643578050124989,3,20.94482936689031,8,269.5029554752734,6,2,0.22423099732400517,0.11055783602686249,0.2,0.4,4,1,4:3,640,480,random,643.2455914290181,0,0.0,,0,4.930533126386209,4.930533126386209,8,lateral,
11,1,,Pallet_1,indoor,-0.66039879556743,2,8.711781295350534,4,138.37340426176578,5,1,0.12662179445888,0.06942678645833335,0.1,0.2,5,1,16:9,960,540,anchor,605.9065,2,0.27312834436863037,near-camera,1,5.483004466571469,5.483004466571469,7,vertical,
12,1,,Pallet_3,random-mix,-1.3130397375635905,4,37.607155014602235,1,35.14085633788167,7,0,0.07066330333457774,0.061804869397672796,0.0,0.1,5,1,4:3,640,480,random,359.59196740464165,3,0.35256940216639177,near-pallet,1,8.74638836300054,8.74638836300054,8,lateral,
13,1,,Pallet_2,outdoor-day,-0.06417966020109667,1,6.34061255875487,4,144.44908334756883,5,3,0.4187502630090847,0.10096232614722185,0.4,0.6,4,1,3:2,720,480,random,660.8443165999975,1,0.1592099725748978,near-pallet,0,2.4110391100824575,2.4110391100824575,5,diag,SchoolChair_01
14,1,,Pallet_1,outdoor-night,-1.9099460387144354,2,11.749394075709793,2,64.66225940955157,8,4,0.6945725294136902,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,1.4993420453211403,1.4993420453211403,6,none,
15,1,,Pallet_0,indoor,-0.9782747356719019,2,11.02670158724427,11,355.1824036996423,6,0,0.0670809598395607,0.05618218593157984,0.0,0.1,5,1,16:9,960,540,random,490.31725903924223,3,0.4462914041878997,near-camera,0,8.375280566341367,8.375280566341367,8,diag,delivery_van_01
16,1,,Pallet_0,outdoor-night,-0.03598400144023195,4,32.305771093004886,10,315.01077925772245,8,3,0.4566304726737373,0.07250488369630527,0.4,0.6,5,1,16:9,960,540,random,632.769894076846,0,0.0,,1,1.5878240291709582,1.5878240291709582,7,none,
17,0,d_occ_fail,Pallet_2,random-mix,-0.1960776752910971,3,19.690100973084974,3,111.06146078705865,5,4,0.6774029837730852,0.12912260349390792,0.6,1.0,4,1,1:1,560,560,random,657.3514359689857,2,0.23011194863058004,near-pallet,0,1.906141640751336,,,,
18,1,,Pallet_2,random-mix,-1.6055014992975565,6,65.9858010901019,9,279.9645694737155,6,1,0.1358814663770036,0.07068506398506286,0.1,0.2,5,1,1:1,560,560,random,359.8512348330473,1,0.14684539908486832,near-camera,0,5.20196505599571,5.20196505599571,8,lateral,wine_barrel_01
19,1,,Pallet_3,outdoor-day,-2.0788227349464012,3,17.678196896191793,0,5.484699199265758,7,2,0.3719609888943099,0.09942778384881697,0.2,0.4,5,1,4:3,640,480,random,578.4889242112987,2,0.22239581832447378,near-pallet,0,2.6730702094425465,2.6730702094425465,8,vertical,propane_tank
20,0,v_below_min,Pallet_1,indoor,-1.445004391275523,4,27.122176554074557,7,231.3456548058781,7,4,0.9992801176174633,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,1.0421520237568278,,,,
21,1,,Pallet_1,indoor,-1.1064699518951886,2,11.207983106330545,3,113.04967936259568,6,4,0.7488166225411971,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,1.3907300739944595,1.3907300739944595,6,lateral,
22,1,,Pallet_2,random-mix,-0.12779836972788772,5,45.78272451396681,7,228.32095328247908,6,2,0.2200415731616333,0.10414017968750003,0.2,0.4,4,1,4:3,640,480,anchor,605.9065,1,0.11857167926320827,near-camera,1,4.732750188574729,4.732750188574729,6,diag,
23,1,,Pallet_1,outdoor-day,-1.1785172772267565,1,6.951373662002606,8,242.0351261418172,6,3,0.5330667360087573,0.10295313115347238,0.4,0.6,4,1,1:1,560,560,random,524.1250313267684,0,0.0,,0,1.9313366263353007,1.9313366263353007,6,lateral,
24,1,,Pallet_3,outdoor-night,-0.5453023612194943,3,17.74089329167279,5,150.7649089679587,5,4,0.9962297152884229,0.10644233091154243,0.6,1.0,4,1,4:3,640,480,random,619.3008343944286,2,0.2254346717307823,near-pallet,1,1.0684516761350151,1.0684516761350151,4,diag,
25,1,,Pallet_0,indoor,-0.42645342682201637,4,31.78869641623229,6,208.09190918144245,6,1,0.1329615585904847,0.09256904861111113,0.1,0.2,5,1,3:2,720,480,anchor,605.9065,0,0.0,,0,6.962091118096728,6.962091118096728,6,diag,
26,1,,Pallet_3,indoor,-0.11441683706295613,1,3.462683678820705,4,134.88841366500336,4,0,0.09439136881623088,0.08133004067882554,0.0,0.1,5,1,4:3,640,480,random,473.1929639495304,3,0.39950323821430234,near-pallet,0,8.61625821288446,8.61625821288446,8,vertical,wooden_broom
27,1,,Pallet_0,outdoor-night,-0.9894225522199203,0,2.658770857047317,6,199.3296025214965,7,0,0.0796765769549943,0.06256527683007668,0.0,0.1,5,1,16:9,960,540,random,546.0242341533964,0,0.0,,1,7.852405213820489,7.852405213820489,8,vertical,
28,1,,Pallet_2,outdoor-day,-1.4718006422892707,3,16.145233038111357,10,318.81466130275845,5,3,0.46018087459569645,0.05603632032404979,0.4,0.6,5,1,16:9,960,540,random,489.04425010079814,1,0.12258111495074102,near-pallet,1,1.2177020692848637,1.2177020692848637,7,vertical,
29,1,,Pallet_1,random-mix,-2.9250831403015543,3,22.618060782944863,7,218.55745310415568,8,2,0.3995691078192138,0.10541675281477363,0.2,0.4,4,1,4:3,640,480,random,613.3338345586828,3,0.42607351843249974,near-camera,0,2.6382608352813337,2.6382608352813337,8,none,drawer_cabinet
30,1,,Pallet_3,indoor,-0.2409837901453109,1,4.427951783379555,3,111.03545635487293,7,4,0.7993471181563221,0.09256904861111113,0.6,1.0,5,1,3:2,720,480,anchor,605.9065,2,0.21813793003112078,near-pallet,1,1.1580582016060776,1.1580582016060776,6,lateral,wooden_crate_01
31,1,,Pallet_1,outdoor-day,-1.0673356929989672,3,18.067575870341116,1,40.5987432557614,6,1,0.11932564950431061,0.11043034992891985,0.1,0.2,4,1,4:3,640,480,random,642.5038541318974,0,0.0,,0,9.254535834303637,9.254535834303637,6,lateral,
32,1,,Pallet_0,outdoor-night,-2.5385329361030853,5,53.23170958929934,0,22.804920273998064,5,2,0.3331675541161875,0.06613541965657355,0.2,0.4,5,1,16:9,960,540,random,577.1818442755509,1,0.17802966484806917,near-camera,0,1.9850498297175045,1.9850498297175045,5,vertical,concrete_road_barrier
33,1,,Pallet_2,outdoor-day,-0.9569890822044145,5,55.696028521804266,9,294.2936436382377,7,1,0.13921914629245818,0.10414017968750003,0.1,0.2,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,7.48030586746541,7.48030586746541,8,lateral,
34,1,,Pallet_3,outdoor-night,-0.6621926811863901,3,20.05358022549826,11,343.9545743671142,7,3,0.4823709757869806,0.10481735337083481,0.4,0.6,4,1,4:3,640,480,random,609.8464196121298,2,0.2343686197213216,near-pallet,1,2.172961447355471,2.172961447355471,7,diag,
35,1,,Pallet_1,random-mix,-0.7792746077595991,1,5.071020437496739,8,257.84026831730046,6,0,0.062266586189455866,0.04426531165452212,0.0,0.1,5,1,16:9,960,540,random,386.31544716673847,1,0.12265047990361796,near-camera,0,7.108999282510521,7.108999282510521,8,diag,Brother_Ink_Cartridge_Magenta_LC75M
36,1,,Pallet_2,indoor,-0.09868554034359311,2,10.775425078854955,5,174.60813927129706,6,4,0.8920858723959326,0.0959507363119121,0.6,1.0,5,1,1:1,560,560,random,488.47647576973435,0,0.0,,0,1.0755773550612455,1.0755773550612455,4,diag,
37,1,,Pallet_0,outdoor-day,-1.8641298329444542,2,11.138878957875436,2,84.8789154800314,5,0,0.09506502980830552,0.09256904861111113,0.0,0.1,5,1,3:2,720,480,anchor,605.9065,0,0.0,,1,9.7374448625086,9.7374448625086,5,diag,
38,1,,Pallet_0,random-mix,-1.2661243428417555,2,9.273834357212912,2,76.24052188703628,7,3,0.4474370943787678,0.10205058511648092,0.4,0.6,4,1,4:3,640,480,random,593.7488588595253,3,0.4082084078182895,near-pallet,0,2.2807806147179273,2.2807806147179273,8,diag,construction_sign_01
39,1,,Pallet_3,outdoor-day,-0.23175265291463765,2,11.914192360806336,7,232.134514213621,4,1,0.12217201891144583,0.10208518296956152,0.1,0.2,4,1,4:3,640,480,random,593.950155459267,2,0.3071767539639636,near-pallet,1,8.35585626554605,8.35585626554605,4,lateral,
40,0,C1,Pallet_2,indoor,-2.537302724496007,1,3.4400702630875313,10,319.3563691466624,5,4,0.9341249941340036,0.040344123317313914,0.6,1.0,5,1,16:9,960,540,random,352.0941671329214,0,0.0,,1,0.431892129754173,,,,
41,0,C1,Pallet_1,indoor,-0.10327766744834088,1,7.62215778949518,1,37.31201264204367,5,4,0.9754429562793452,0.06942678645833335,0.6,1.0,5,1,16:9,960,540,anchor,605.9065,1,0.1564021809053086,near-pallet,0,0.7117462483213735,,,,
42,1,,Pallet_1,indoor,-1.0744705614999919,0,1.4132968422051393,0,26.10775932504882,5,4,0.9369194444137803,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,1.1115169005021488,1.1115169005021488,4,lateral,
43,1,,Pallet_2,outdoor-night,-2.2899849257038176,4,32.25410543390411,6,180.3351623636987,7,2,0.36058841566968614,0.07931328824428412,0.2,0.4,5,1,16:9,960,540,random,692.1886974046613,1,0.15163729052476504,near-camera,0,2.1995517547889936,2.1995517547889936,7,lateral,SchoolDesk_01
44,1,,Pallet_1,random-mix,-1.807175385856804,4,33.48792992519053,3,97.51986234351313,5,4,0.8729624386091746,0.0791763849757957,0.6,1.0,5,1,3:2,720,480,random,518.2454289324809,3,0.4425625675335357,near-pallet,1,0.90698501417703,0.90698501417703,4,diag,
45,1,,Pallet_0,outdoor-day,-2.760586545492079,4,30.97901732766362,1,36.15534911603605,6,1,0.16657820632933687,0.11901734821428574,0.1,0.2,4,1,1:1,560,560,anchor,605.9065,0,0.0,,0,7.144833098933725,7.144833098933725,6,vertical,
46,1,,Pallet_3,outdoor-night,-1.7888951781693236,5,49.0424517121717,11,336.29273143880835,7,3,0.5275030930859046,0.07432975475823464,0.4,0.6,5,1,4:3,640,480,random,432.46402768427424,2,0.2577233925098761,near-camera,0,1.4090866145145038,1.4090866145145038,7,lateral,old_tyre
47,1,,Pallet_2,indoor,-2.4796536698508724,1,6.0479044125976085,4,146.93811422012178,4,2,0.3916039346342129,0.10414017968750003,0.2,0.4,4,1,4:3,640,480,anchor,605.9065,1,0.1504024428895171,near-pallet,1,2.6593241404679624,2.6593241404679624,4,lateral,
48,1,,Pallet_2,indoor,-1.154365682825453,4,37.8168339794809,10,303.26791924126496,4,2,0.3493032922190026,0.11846120312153487,0.2,0.4,4,1,4:3,640,480,random,689.2288181616573,0,0.0,,0,3.391356616451908,3.391356616451908,4,diag,
49,1,,Pallet_1,random-mix,-0.8837915053891057,1,7.9955047723690305,9,298.16837570587586,5,0,0.08729720027989363,0.06224472439754455,0.0,0.1,5,1,16:9,960,540,random,543.2266856512979,2,0.33537774573451684,near-pallet,1,7.130208551703211,7.130208551703211,8,vertical,
50,1,,Pallet_3,outdoor-day,-2.1042571272869455,2,10.94952605083914,5,174.9303041976779,6,3,0.40757488648709117,0.044460400278168825,0.4,0.6,5,1,16:9,960,540,random,388.01803879129153,1,0.16087630476308393,near-pallet,1,1.090852301067303,1.090852301067303,6,lateral,
51,1,,Pallet_0,outdoor-night,-1.4213750981597713,6,68.8271298988359,8,257.2716237904381,5,1,0.18221423011624505,0.08078013389456087,0.1,0.2,5,1,4:3,640,480,random,469.99350629562684,0,0.0,,0,4.433250566820524,4.433250566820524,6,diag,
52,1,,Pallet_2,indoor,-1.2029463744704123,2,13.009860737568594,6,198.61484515836187,6,4,0.9193591707051179,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,3,0.38053289842543003,near-camera,0,1.132747494188022,1.132747494188022,4,diag,barrel_stove
53,1,,Pallet_1,outdoor-day,0.142471828276987,3,16.32412140760106,11,349.69522259866307,5,0,0.05200605687483997,0.048231471562382285,0.0,0.1,5,1,16:9,960,540,random,420.92920636260897,0,0.0,,1,9.274202748817936,9.274202748817936,8,diag,
54,1,,Pallet_3,outdoor-night,-1.356972367657741,6,74.79273345743304,3,90.10418190353988,8,3,0.5190747706870723,0.09256904861111113,0.4,0.6,5,1,3:2,720,480,anchor,605.9065,2,0.29172857383466516,near-pallet,1,1.7833470983107558,1.7833470983107558,8,none,
55,1,,Pallet_0,outdoor-day,-0.4808024961135162,1,6.826041722591379,7,232.3764465616361,6,4,0.7695802147735195,0.09040432343922845,0.6,1.0,5,1,4:3,640,480,random,525.9887909191473,1,0.13080422137872902,near-camera,0,1.1747225526819662,1.1747225526819662,5,vertical,wine_barrel_01
56,1,,Pallet_0,indoor,0.06077817651525619,3,18.18190430206149,2,89.1865148365128,4,0,0.07991963904146446,0.051349083674506905,0.0,0.1,5,1,16:9,960,540,random,448.13745752296927,0,0.0,,1,6.425089538738485,6.425089538738485,8,diag,
57,1,,Pallet_1,outdoor-night,-2.149045418110868,1,6.769493218915336,8,260.56002002588264,8,1,0.1703716328434825,0.10414017968750003,0.1,0.2,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,6.112530469386991,6.112530469386991,8,none,
58,1,,Pallet_2,random-mix,-0.9088149061623665,3,17.402284079926485,5,160.10366752953817,5,2,0.2782466542773299,0.08753301212815702,0.2,0.4,5,1,4:3,640,480,random,509.28297965473166,1,0.14775433727293127,near-pallet,0,3.1458783342966057,3.1458783342966057,5,diag,cement_bag
59,1,,Pallet_3,outdoor-day,-0.4233115008779684,4,30.99525013743029,0,4.470623173631905,7,1,0.14531975365031694,0.07156608867849307,0.1,0.2,5,1,1:1,560,560,random,364.33645145414647,2,0.23646578345592215,near-pallet,1,4.92473231483055,4.92473231483055,8,vertical,
60,1,,Pallet_3,random-mix,-1.5263766761045363,2,8.475940103057296,4,121.267530830348,5,3,0.5068119967048988,0.10414017968750003,0.4,0.6,4,1,4:3,640,480,anchor,605.9065,1,0.15740745852498525,near-camera,0,2.054808890961152,2.054808890961152,6,lateral,storage_rack_01
61,1,,Pallet_1,indoor,0.009241261689282076,3,20.08547378860563,10,307.9794156016179,6,4,0.955891548951239,0.0955476505873253,0.6,1.0,5,1,3:2,720,480,random,625.4028038443109,0,0.0,,1,0.9995658052647903,0.9995658052647903,4,lateral,
62,1,,Pallet_0,outdoor-day,-1.356176730006805,1,7.686600856575149,1,34.1435744360771,5,2,0.2784652824470185,0.045781917287773845,0.2,0.4,5,1,16:9,960,540,random,399.5512781478444,3,0.3765922942059385,near-pallet,0,1.6440798969790578,1.6440798969790578,7,diag,old_tyre
63,1,,Pallet_2,outdoor-night,-1.888714732698375,3,21.08497954132663,9,275.61518929436016,7,0,0.08485760785444385,0.08404944578229642,0.0,0.1,5,1,4:3,640,480,random,489.01495727881553,0,0.0,,1,9.904762567248694,9.904762567248694,8,diag,
64,1,,Pallet_3,random-mix,-2.8797075024800427,1,4.615084765786293,3,119.52836981373726,4,4,0.8448777296561354,0.11684970802510135,0.6,1.0,4,1,1:1,560,560,random,594.8712408550614,0,0.0,,0,1.383036904910005,1.383036904910005,4,lateral,
65,1,,Pallet_0,indoor,-1.581981229591584,6,68.01749432743385,5,159.15191481465104,7,0,0.09583352150426934,0.09256904861111113,0.0,0.1,5,1,3:2,720,480,anchor,605.9065,1,0.12697100401716757,near-pallet,1,9.659360019133517,9.659360019133517,8,diag,
66,1,,Pallet_1,outdoor-day,-2.7006340303933425,5,44.82313696679033,8,266.6567216370655,7,2,0.3156187986224671,0.09225279311749046,0.2,0.4,5,1,4:3,640,480,random,536.7435235926717,2,0.32230063090325156,near-camera,0,2.92291820132806,2.92291820132806,7,diag,SchoolChair_01
67,1,,Pallet_2,outdoor-day,-1.6134657105686336,4,39.76127819794445,1,41.900853675244015,8,1,0.1661478415629645,0.0555868097906902,0.1,0.2,5,1,16:9,960,540,random,485.1212490823872,0,0.0,,1,3.3456233477233983,3.3456233477233983,8,none,
68,1,,Pallet_1,outdoor-night,-2.573625677950203,1,4.254926469661306,10,301.20499363144074,6,3,0.4649463141237289,0.06031872347113726,0.4,0.6,5,1,16:9,960,540,random,526.4179502935615,3,0.44452201215658155,near-pallet,1,1.2973266297382795,1.2973266297382795,6,lateral,chinese_screen_panels
69,1,,Pallet_3,outdoor-night,-1.9950109968604006,2,9.649987264338122,4,120.62434406666172,6,2,0.3282420514463391,0.10414017968750003,0.2,0.4,4,1,4:3,640,480,anchor,605.9065,1,0.19727292210701583,near-camera,0,3.1726641735458694,3.1726641735458694,6,lateral,utility_box_01
70,1,,Pallet_0,random-mix,-0.6520683538658565,4,31.60214153285133,6,183.19192841273997,5,1,0.17333188576893707,0.05956058026109101,0.1,0.2,5,1,4:3,640,480,random,346.53428515543857,2,0.3343477429268502,near-camera,0,3.4362160197396814,3.4362160197396814,8,lateral,bollard_01
71,1,,Pallet_2,indoor,-2.901921052040553,0,2.257691814024726,2,76.72463523282043,4,3,0.5411025616421549,0.11550884158083136,0.4,0.6,4,1,4:3,640,480,random,672.0514419248369,0,0.0,,1,2.1346940445131426,2.1346940445131426,4,diag,
72,1,,Pallet_2,indoor,-0.4069432578185852,3,18.637283075103255,7,214.89611491990942,6,4,0.8170648814417469,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,1.2745643834763782,1.2745643834763782,5,lateral,
73,1,,Pallet_0,outdoor-day,-1.4783231023352055,2,13.350395729961603,9,281.8297106194317,6,0,0.0980347021306232,0.08734690019856711,0.0,0.1,5,1,3:2,720,480,random,571.7251649360755,3,0.41082242136531616,near-pallet,1,8.909794011735205,8.909794011735205,6,lateral,
74,0,d_occ_fail,Pallet_3,outdoor-day,-2.5821574016432427,3,19.08446769377705,0,11.812513097020304,5,4,0.84155685024702,0.04344988987421318,0.6,1.0,5,1,16:9,960,540,random,379.1990389022241,2,0.34387125092223914,near-pallet,0,0.5163036800361075,,,,
75,1,,Pallet_1,outdoor-night,-0.6920532845869425,3,20.529324098521986,11,346.393368528936,5,2,0.39446455129333424,0.10414017968750003,0.2,0.4,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,2.640038993264534,2.640038993264534,5,vertical,
76,1,,Pallet_3,outdoor-day,-2.4038457514734777,3,18.312258064288823,0,8.543432010636229,7,1,0.13100746503586896,0.06514701218004952,0.1,0.2,5,1,16:9,960,540,random,568.5557426622504,1,0.19524197566885365,near-pallet,1,4.97277099150134,4.97277099150134,8,vertical,
77,1,,Pallet_2,random-mix,-2.050310715489708,4,26.33948399726884,1,56.20172548396955,7,0,0.09873386489681502,0.08880538383319096,0.0,0.1,5,1,1:1,560,560,random,452.10013587806304,2,0.20619923706215434,near-pallet,0,8.99441989088545,8.99441989088545,8,diag,construction_sign_01
78,1,,Pallet_0,indoor,-2.559234225179726,5,59.37269814954107,7,223.32879293822637,8,4,0.6889247195981818,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,1.5116336622126174,1.5116336622126174,4,none,
79,1,,Pallet_1,outdoor-night,-1.8023769509215877,6,65.60052332068551,8,254.8021746554654,7,3,0.5624476235036654,0.04204415683440062,0.4,0.6,5,1,16:9,960,540,random,366.93082328204173,1,0.1658813642859568,near-camera,1,0.7475212815816372,0.7475212815816372,6,vertical,
80,1,,Pallet_3,random-mix,0.1957783492435956,0,2.1053113674106356,5,171.53502034016853,5,0,0.09434438575511322,0.09399840296058772,0.0,0.1,5,1,4:3,640,480,random,546.8997990434194,3,0.4392823720272658,near-pallet,0,9.96332767532945,9.96332767532945,6,diag,Shelf_01
81,1,,Pallet_3,outdoor-night,-1.0363698291457633,1,4.714676393603704,6,187.12321354257895,5,1,0.15048459982868184,0.06579674202025082,0.1,0.2,5,1,3:2,720,480,random,430.66958413255077,0,0.0,,1,4.372323951763613,4.372323951763613,8,diag,
82,1,,Pallet_2,outdoor-day,-2.5893353874209324,1,7.908830539183718,11,338.15182357537935,6,2,0.28077039004679494,0.10414017968750003,0.2,0.4,4,1,4:3,640,480,anchor,605.9065,2,0.3350807686779613,near-camera,0,3.7090869756651825,3.7090869756651825,6,lateral,metal_toolbox
83,1,,Pallet_0,outdoor-day,-0.6183397913540731,2,13.843761592862457,10,329.44619823822694,6,3,0.4407221697460717,0.04648365057966612,0.4,0.6,5,1,16:9,960,540,random,405.67549596799523,0,0.0,,0,1.0547155049279306,1.0547155049279306,6,diag,
84,0,C1,Pallet_1,indoor,-1.8923350875121223,0,2.6945437979791644,0,29.324438665185987,4,4,0.9234197390178733,0.06744717040744008,0.6,1.0,5,1,4:3,640,480,random,392.41990055237864,1,0.1870239347719903,near-pallet,1,0.7304064182034407,,,,
85,1,,Pallet_1,indoor,-2.4145738672294854,2,13.060239134034113,9,271.95696537350165,5,4,0.8740353134531196,0.07103193120005492,0.6,1.0,5,1,4:3,640,480,random,413.27669061850133,1,0.11767949210699902,near-pallet,1,0.8126894887052506,0.8126894887052506,4,lateral,
86,1,,Pallet_0,indoor,-1.7865125467179066,0,2.597328760440956,3,105.75833182903088,4,3,0.5868324402603017,0.11815904770944147,0.4,0.6,4,1,4:3,640,480,random,687.4708230367503,2,0.21961310723784,near-camera,0,2.0135057233207756,2.0135057233207756,4,vertical,metal_trash_can
87,1,,Pallet_1,random-mix,-0.0026775478455576263,4,32.459997133599884,0,17.344257579402324,7,1,0.17929231956692437,0.06942678645833335,0.1,0.2,5,1,16:9,960,540,anchor,605.9065,1,0.1546150984143994,near-pallet,1,3.8722677371809247,3.8722677371809247,8,lateral,
88,0,v_below_min,Pallet_3,outdoor-day,-1.1349634050454098,5,43.684409407877915,4,125.43471142193782,6,4,0.8337174082467309,0.05593605599309042,0.6,1.0,5,1,3:2,720,480,random,366.1269119547736,0,0.0,,1,0.6709234500779029,,,,
89,1,,Pallet_3,outdoor-day,-0.6759822230975643,1,7.565697378579038,4,130.69597789095482,4,2,0.33804468198773935,0.12556628119441093,0.2,0.4,4,1,1:1,560,560,random,639.2465224442738,0,0.0,,1,3.7144876960071547,3.7144876960071547,4,diag,
90,1,,Pallet_2,outdoor-night,-1.8893569219104016,3,24.453324010351665,2,70.01381759367304,5,4,0.6532757474766268,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,1.5941228507220224,1.5941228507220224,5,vertical,
91,1,,Pallet_2,outdoor-day,-2.4615882659416513,2,12.899869454444794,8,269.49479489529193,4,0,0.09935461304438288,0.09882729831094225,0.0,0.1,5,1,3:2,720,480,random,646.8695889443493,1,0.14280944862934175,near-pallet,0,9.946925993944028,9.946925993944028,4,lateral,korean_fire_extinguisher_01
92,1,,Pallet_1,outdoor-night,-0.1838324646450964,6,70.58652169312805,3,99.58543011164531,8,1,0.10002140055604058,0.03790502048526959,0.1,0.2,5,1,16:9,960,540,random,330.8074515078073,0,0.0,,1,3.7896910335735545,3.7896910335735545,8,none,
93,1,,Pallet_3,indoor,-1.0285281372939574,3,23.730594734218588,11,358.9781925017109,7,3,0.5316154620952647,0.10733349211919936,0.4,0.6,4,1,4:3,640,480,random,624.4857723298871,3,0.43973900871519656,near-camera,0,2.019006213554514,2.019006213554514,8,vertical,wooden_broom
94,1,,Pallet_0,random-mix,-1.3818394011176387,5,57.450697061347206,6,200.9700040541502,7,0,0.08363554384134939,0.05744897930938572,0.0,0.1,5,1,4:3,640,480,random,334.2486068909715,2,0.26172613429725206,near-pallet,1,6.868967028941942,6.868967028941942,8,vertical,
95,1,,Pallet_2,outdoor-day,-1.2275880825246868,5,42.238058930551134,0,19.95147724928964,5,2,0.2594019298607507,0.06942678645833335,0.2,0.4,5,1,16:9,960,540,anchor,605.9065,0,0.0,,1,2.676417499885304,2.676417499885304,7,vertical,
96,0,v_below_min,Pallet_0,outdoor-night,-2.5884515412942273,5,59.53043575228585,10,321.50624482177955,6,4,0.9947899007590778,0.10844329377989141,0.6,1.0,4,1,4:3,640,480,random,630.9428001739136,3,0.38120881556547614,near-pallet,0,1.0901125322758443,,,,
