move_id,cohort,source,destination,entry_kind,classification,evidence_level,confidence,file_count,total_bytes,current_runtime_refs,current_test_refs,current_doc_refs,license_status,exclusion_status,rollback_role,full_hash_required,estimated_hash_read_bytes,status,blocker
D1-021,D1A_PACKAGES,data/pallet/test_blender_v65.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v65.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,86723195,0,0,15,dataset 라이선스 상속,not excluded,,yes,173446390,READY,
D1-022,D1A_PACKAGES,data/pallet/test_blender_v68.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v68.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,906940260,0,0,15,dataset 라이선스 상속,not excluded,,yes,1813880520,READY,
D1-023,D1A_PACKAGES,data/pallet/test_blender_v69.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v69.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,3653659280,0,0,15,dataset 라이선스 상속,not excluded,,yes,7307318560,READY,
D1-024,D1A_PACKAGES,data/pallet/test_blender_v70.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v70.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,913350083,0,0,15,dataset 라이선스 상속,not excluded,,yes,1826700166,READY,
D1-025,D1A_PACKAGES,data/pallet/test_indoor_v1.zip,data/pallet/archive/packages/dataset_bundles/test_indoor_v1.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,587372076,0,0,15,dataset 라이선스 상속,not excluded,,yes,1174744152,READY,
D1-026,D1A_PACKAGES,data/pallet/train_4pallet_mask_v1.zip,data/pallet/archive/packages/dataset_bundles/train_4pallet_mask_v1.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,9675248635,0,0,15,NoAI baked,EXCLUDED (train_4pallet_mask_v1.zip),,yes,19350497270,READY,
D1-027,D1A_PACKAGES,data/pallet/train_palletobj_addon_v1.zip,data/pallet/archive/packages/dataset_bundles/train_palletobj_addon_v1.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,5648950621,0,0,15,dataset 라이선스 상속,not excluded,,yes,11297901242,READY,
D1-028,D1A_PACKAGES,data/pallet/train_palletobj_v1 (2).zip,data/pallet/archive/packages/dataset_bundles/train_palletobj_v1 (2).zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,8316876455,0,0,12,dataset 라이선스 상속,not excluded,,yes,16633752910,READY,
D1-029,D1A_PACKAGES,data/pallet/train_palletobj_v2 (2).zip,data/pallet/archive/packages/dataset_bundles/train_palletobj_v2 (2).zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,8321314846,0,0,10,dataset 라이선스 상속,not excluded,,yes,16642629692,READY,
D1-030,D1A_PACKAGES,data/pallet/train_palletobj_v2.zip,data/pallet/archive/packages/dataset_bundles/train_palletobj_v2.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,8346416419,0,0,20,dataset 라이선스 상속,not excluded,,yes,16692832838,READY,
D1-031,D1A_PACKAGES,data/pallet/train_palletobj_v3.zip,data/pallet/archive/packages/dataset_bundles/train_palletobj_v3.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,10449502513,0,0,15,dataset 라이선스 상속,not excluded,,yes,20899005026,READY,
D1-032,D1A_PACKAGES,data/pallet/trunc_addon_v1.zip,data/pallet/archive/packages/dataset_bundles/trunc_addon_v1.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,5435835407,0,0,15,dataset 라이선스 상속,not excluded,,yes,10871670814,READY,
D1-033,D1C_LEGACY_DATASETS,data/pallet/archive/train_palletobj_v3,(이동 없음),directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,40002,10682796255,1,0,443,redistributable (attribution 필요),not excluded,,yes,21365592510,BLOCKED_REFERENCE,CURRENT 경로 참조 살아있음 — runtime 1 / test 0. 이동 전 registry 키 등록 + 참조 전환 선행 필요 (plan_reference_hits.csv kind=path_current)
D1-034,D1C_LEGACY_DATASETS,data/pallet/archive/train_4pallet_mask_v1,data/pallet/archive/legacy_datasets/noai_baked/train_4pallet_mask_v1,directory,NOAI_BAKED_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,40040,9845542580,0,0,88,NoAI baked (릴리스 제외 유지),EXCLUDED (archive/train_4pallet_mask_v1),,yes,19691085160,READY,
D1-035,D1C_LEGACY_DATASETS,data/pallet/archive/train_palletobj_v2,data/pallet/archive/legacy_datasets/redistributable/train_palletobj_v2,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,30010,8341960347,0,0,63,redistributable (attribution 필요),not excluded,,yes,16683920694,READY,
D1-036,D1C_LEGACY_DATASETS,data/pallet/archive/train_palletobj_v1,data/pallet/archive/legacy_datasets/redistributable/train_palletobj_v1,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,30012,8337383185,0,0,72,redistributable (attribution 필요),not excluded,,yes,16674766370,READY,
D1-037,D1C_LEGACY_DATASETS,data/pallet/archive/training_data_v4_split,data/pallet/archive/legacy_datasets/noai_baked/training_data_v4_split,directory,NOAI_BAKED_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,15053,8321688089,0,0,797,NoAI baked (릴리스 제외 유지),EXCLUDED (archive/training_data_v4_split),,yes,16643376178,READY,
D1-038,D1C_LEGACY_DATASETS,data/pallet/archive/training_data,(이동 없음),directory,NOAI_BAKED_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,34704,6435540124,10,0,2716,NoAI baked (릴리스 제외 유지),EXCLUDED (archive/training_data),,yes,12871080248,BLOCKED_REFERENCE,CURRENT 경로 참조 살아있음 — runtime 10 / test 0. 이동 전 registry 키 등록 + 참조 전환 선행 필요 (plan_reference_hits.csv kind=path_current)
D1-039,D1C_LEGACY_DATASETS,data/pallet/archive/train_palletobj_addon_v1,data/pallet/archive/legacy_datasets/redistributable/train_palletobj_addon_v1,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,24002,5752182582,0,0,65,redistributable (attribution 필요),not excluded,,yes,11504365164,READY,
D1-040,D1C_LEGACY_DATASETS,data/pallet/archive/trunc_addon_v1,data/pallet/archive/legacy_datasets/redistributable/trunc_addon_v1,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,24015,5546660278,0,0,123,redistributable (attribution 필요),not excluded,,yes,11093320556,READY,
D1-041,D1C_LEGACY_DATASETS,data/pallet/archive/training_data_v4_split_GREYBUG,(이동 없음),directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,15051,5291018327,0,0,786,UNKNOWN_LICENSE (NoAI 상속 미확정),EXCLUDED (archive/training_data_v4_split_GREYBUG),,yes,10582036654,BLOCKED_UNKNOWN,역할/라이선스 미확정 — 계획에서 제외
D1-042,D1C_LEGACY_DATASETS,data/pallet/archive/training_data_v4_split_bg1bak,(이동 없음),directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,15056,5288678749,0,0,786,UNKNOWN_LICENSE (NoAI 상속 미확정),EXCLUDED (archive/training_data_v4_split_bg1bak),,yes,10577357498,BLOCKED_UNKNOWN,역할/라이선스 미확정 — 계획에서 제외
D1-043,D1C_LEGACY_DATASETS,data/pallet/archive/training_data_v4_emptywood,(이동 없음),directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,9031,4820265222,0,0,495,UNKNOWN_LICENSE (NoAI 상속 미확정),EXCLUDED (archive/training_data_v4_emptywood),,yes,9640530444,BLOCKED_UNKNOWN,역할/라이선스 미확정 — 계획에서 제외
D1-044,D1C_LEGACY_DATASETS,data/pallet/archive/test_blender_v69,data/pallet/archive/legacy_datasets/redistributable/test_blender_v69,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,12000,3662471008,0,0,41,redistributable (attribution 필요),not excluded,,yes,7324942016,READY,
D1-045,D1C_LEGACY_DATASETS,data/pallet/archive/test_blender_v64,data/pallet/archive/legacy_datasets/redistributable/test_blender_v64,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,6000,1786012650,0,0,41,redistributable (attribution 필요),not excluded,,yes,3572025300,READY,
D1-046,D1C_LEGACY_DATASETS,data/pallet/archive/test_blender_v70,data/pallet/archive/legacy_datasets/redistributable/test_blender_v70,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,3000,915545347,0,0,41,redistributable (attribution 필요),not excluded,,yes,1831090694,READY,
D1-047,D1C_LEGACY_DATASETS,data/pallet/archive/test_blender_v68,data/pallet/archive/legacy_datasets/redistributable/test_blender_v68,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,3000,909147448,0,0,41,redistributable (attribution 필요),not excluded,,yes,1818294896,READY,
D1-048,D1C_LEGACY_DATASETS,data/pallet/archive/test_indoor_v1,data/pallet/archive/legacy_datasets/redistributable/test_indoor_v1,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,3000,588469993,0,0,41,redistributable (attribution 필요),not excluded,,yes,1176939986,READY,
D1-049,D1C_LEGACY_DATASETS,data/pallet/archive/training_data_v4_pilotA,(이동 없음),directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,482,188826895,0,0,174,UNKNOWN_LICENSE (NoAI 상속 미확정),EXCLUDED (archive/training_data_v4_pilotA),,yes,377653790,BLOCKED_UNKNOWN,역할/라이선스 미확정 — 계획에서 제외
D1-050,D1C_LEGACY_DATASETS,data/pallet/archive/test_blender_v67,data/pallet/archive/legacy_datasets/redistributable/test_blender_v67,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,501,150369725,0,0,35,redistributable (attribution 필요),not excluded,,yes,300739450,READY,
D1-051,D1C_LEGACY_DATASETS,data/pallet/archive/training_data_v4,data/pallet/archive/legacy_datasets/noai_baked/training_data_v4,directory,NOAI_BAKED_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,329,133302744,0,0,200,NoAI baked (릴리스 제외 유지),EXCLUDED (archive/training_data_v4),,yes,266605488,READY,
D1-052,D1C_LEGACY_DATASETS,data/pallet/archive/test_blender_v65,data/pallet/archive/legacy_datasets/redistributable/test_blender_v65,directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,300,86945235,0,0,41,redistributable (attribution 필요),not excluded,,yes,173890470,READY,
D1-053,D1C_LEGACY_DATASETS,data/pallet/archive/train_palletobj_v3_post_v1,(이동 없음),directory,COMPLETE_LEGACY_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,17722,77884636,1,0,418,redistributable (attribution 필요),not excluded,,yes,155769272,BLOCKED_REFERENCE,CURRENT 경로 참조 살아있음 — runtime 1 / test 0. 이동 전 registry 키 등록 + 참조 전환 선행 필요 (plan_reference_hits.csv kind=path_current)
D1-054,D1C_LEGACY_DATASETS,data/pallet/archive/_mask_test60,data/pallet/archive/legacy_datasets/partial/_mask_test60,directory,PARTIAL_DATASET,package 대응은 package_dataset_matches.csv 참조,MED,241,65085895,0,0,54,redistributable (attribution 필요),not excluded,,yes,130171790,READY,
D1-055,D1E_WEIGHTS,weights/pallet_category_test/final_net_epoch_0001.pth,(이동 없음 — 별도 승인 필요),file,UNREFERENCED_WEIGHT,중복 0 (29개 전부 고유 SHA256),MED,1,201134197,0,0,0,derived (학습 산출물),n/a (data/pallet 밖),,no (SHA256 확보),0,KEEP_ACTIVE,"weights/ 는 data/pallet 밖 + gitignored. D1 기본 실행계획에서 제외 권장 — 목적지 미정, 별도 승인 필요"
D1-056,D1E_WEIGHTS,weights/pallet_category_test/net_epoch_0001.pth,(이동 없음 — 별도 승인 필요),file,UNREFERENCED_WEIGHT,중복 0 (29개 전부 고유 SHA256),MED,1,201133057,0,0,0,derived (학습 산출물),n/a (data/pallet 밖),,no (SHA256 확보),0,KEEP_ACTIVE,"weights/ 는 data/pallet 밖 + gitignored. D1 기본 실행계획에서 제외 권장 — 목적지 미정, 별도 승인 필요"
D1-057,D1E_WEIGHTS,weights/2024-01-11-20-02-45/model_best.pth,(이동 없음 — 별도 승인 필요),file,UNREFERENCED_WEIGHT,중복 0 (29개 전부 고유 SHA256),MED,1,190229389,0,0,0,derived (학습 산출물),n/a (data/pallet 밖),,no (SHA256 확보),0,KEEP_ACTIVE,"weights/ 는 data/pallet 밖 + gitignored. D1 기본 실행계획에서 제외 권장 — 목적지 미정, 별도 승인 필요"
D1-058,D1E_WEIGHTS,weights/2023-10-28-18-33-37/model_best.pth,(이동 없음 — 별도 승인 필요),file,UNREFERENCED_WEIGHT,중복 0 (29개 전부 고유 SHA256),MED,1,68220109,0,0,0,derived (학습 산출물),n/a (data/pallet 밖),,no (SHA256 확보),0,KEEP_ACTIVE,"weights/ 는 data/pallet 밖 + gitignored. D1 기본 실행계획에서 제외 권장 — 목적지 미정, 별도 승인 필요"
D1-059,D1F_QUARANTINE,data/pallet/isaac_assets,(이동 없음),directory,LICENSE_QUARANTINE,n/a,HIGH,4543,4350676768,2,0,1400,재배포 불가,EXCLUDED (isaac_assets),,no,0,KEEP_QUARANTINE,NVIDIA EULA (ledger B6) — D1 이동 대상 제외. 이동 시 exclusion 경로 동시 갱신 필요
D1-060,D1F_QUARANTINE,data/pallet/archive/_noai_quarantine_usd,(이동 없음),directory,LICENSE_QUARANTINE,n/a,HIGH,3,738082,0,0,54,재배포 불가,EXCLUDED (archive/_noai_quarantine_usd),,no,0,KEEP_QUARANTINE,NoAI (ledger B1) — D1 이동 대상 제외. 이동 시 exclusion 경로 동시 갱신 필요
