usable_slot,proposal_index,stage,primary_reject_reason,reject_reason,runtime_s,explicit_occluder_placed,explicit_solver_fail_reason
1402,1915,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,42.72255849838257,,bounded_local_search_exhausted
1402,1916,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1402,1917,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,36.7859902381897,,bounded_local_search_exhausted
1402,1918,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,40.05696678161621,,bounded_local_search_exhausted
1403,1920,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1403,1921,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1403,1922,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,60.5236701965332,,bounded_local_search_exhausted
1403,1923,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,45.72676920890808,,bounded_local_search_exhausted
1403,1924,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1403,1925,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1404,1927,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,35.319223403930664,,bounded_local_search_exhausted
1404,1928,solve,solve_reject:v_below_min,solve_reject:v_below_min,,,
1404,1929,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,35.914311170578,,bounded_local_search_exhausted
1404,1930,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,35.484657287597656,,bounded_local_search_exhausted
1405,1932,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,26.688832998275757,,bounded_local_search_exhausted
1405,1933,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1405,1934,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1406,1936,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1406,1937,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1406,1938,solve,solve_reject:d_occ_fail,solve_reject:d_occ_fail,,,
1406,1939,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,28.749768018722534,,bounded_local_search_exhausted
1406,1940,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,52.766507387161255,,bounded_local_search_exhausted
1406,1941,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1407,1943,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1407,1944,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,31.557090997695923,,bounded_local_search_exhausted
1407,1945,solve,solve_reject:d_occ_fail,solve_reject:d_occ_fail,,,
1408,1947,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1409,1949,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1409,1950,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,38.870052099227905,,bounded_local_search_exhausted
1409,1951,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,58.2634379863739,,bounded_local_search_exhausted
1409,1952,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1409,1953,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,35.1179986000061,,bounded_local_search_exhausted
1409,1954,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1409,1955,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,48.43346571922302,,bounded_local_search_exhausted
1409,1956,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,17.3382830619812,,bounded_local_search_exhausted
1409,1957,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,34.53584837913513,,bounded_local_search_exhausted
1410,1959,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1410,1960,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,21.268179655075073,,bounded_local_search_exhausted
1410,1961,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1410,1962,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1411,1964,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1411,1965,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,54.62184405326843,,bounded_local_search_exhausted
1411,1966,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1412,1968,solve,solve_reject:d_occ_fail,solve_reject:d_occ_fail,,,
1414,1971,solve,solve_reject:v_below_min,solve_reject:v_below_min,,,
1414,1972,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1414,1973,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,33.30110049247742,,bounded_local_search_exhausted
1414,1974,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,65.04254603385925,,bounded_local_search_exhausted
1414,1975,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1415,1977,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1415,1978,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1415,1979,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,33.643006324768066,,bounded_local_search_exhausted
1415,1980,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,19.068825244903564,,bounded_local_search_exhausted
1416,1982,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1417,1984,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1417,1985,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,51.84870219230652,,bounded_local_search_exhausted
1417,1986,solve,solve_reject:C1,solve_reject:C1,,,
1417,1987,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,41.04544425010681,,bounded_local_search_exhausted
1417,1988,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1417,1989,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,19.57093048095703,,bounded_local_search_exhausted
1417,1990,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,56.61323952674866,,bounded_local_search_exhausted
1417,1991,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1419,1994,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1419,1995,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1420,1997,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,116.24092531204224,,bounded_local_search_exhausted
1420,1998,solve,solve_reject:C1,solve_reject:C1,,,
1420,1999,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,46.8498260974884,,bounded_local_search_exhausted
1420,2000,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1420,2001,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1420,2002,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1420,2003,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,48.50106596946716,,bounded_local_search_exhausted
1421,2005,solve,solve_reject:C1,solve_reject:C1,,,
1421,2006,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
